bus_id,route_id,timestamp,hour_of_day,day_of_week,minute_of_day,is_morning_rush,is_evening_rush,is_rush_hour,is_weekend,distance_to_next_stop_km,current_speed_kmh,speed_ratio,stop_sequence,scheduled_travel_time_min,bearing,route_id_encoded,delay_next_stop_minutes
BUS-010,ROUTE-SOUTH,2026-08-11T15:25:44Z,9.0,1.0,565.0,1.0,0.0,1.0,0.0,1.4,8.8,0.352,7.0,2.9,150.9,2.0,17
BUS-020,ROUTE-2,2026-08-10T21:25:35Z,15.0,0.0,925.0,0.0,0.0,0.0,0.0,3.77,27.5,1.1,10.0,9.3,75.5,2.0,7
BUS-011,ROUTE-SOUTH,2026-08-15T13:28:43Z,7.0,5.0,448.0,1.0,0.0,1.0,1.0,1.04,29.5,1.18,8.0,3.0,323.5,2.0,2
BUS-010,ROUTE-1,2026-08-22T14:40:39Z,8.0,5.0,520.0,1.0,0.0,1.0,1.0,1.57,32.5,1.3,9.0,5.4,269.7,1.0,-1
BUS-005,ROUTE-2,2026-08-02T21:15:30Z,15.0,6.0,915.0,0.0,0.0,0.0,1.0,2.79,32.0,1.28,1.0,8.3,163.5,2.0,-3
BUS-013,CAMPUS-EXPRESS,2026-08-13T14:15:09Z,8.0,3.0,495.0,1.0,0.0,1.0,0.0,2.99,7.8,0.312,8.0,6.5,269.6,5.0,24
BUS-008,ROUTE-NORTH,2026-08-26T21:44:33Z,15.0,2.0,944.0,0.0,0.0,0.0,0.0,2.14,27.7,1.108,3.0,6.0,329.4,1.0,-1
BUS-015,ROUTE-2,2026-08-18T14:38:20Z,8.0,1.0,518.0,1.0,0.0,1.0,0.0,4.28,8.9,0.356,9.0,12.4,219.9,2.0,25
BUS-015,ROUTE-SOUTH,2026-08-25T00:55:30Z,18.0,1.0,1135.0,0.0,1.0,1.0,0.0,2.08,10.6,0.424,3.0,6.5,301.5,2.0,11
BUS-008,ROUTE-NORTH,2026-08-15T21:04:45Z,15.0,5.0,904.0,0.0,0.0,0.0,1.0,1.36,33.1,1.324,5.0,3.2,114.8,1.0,2
BUS-013,ROUTE-2,2026-08-23T19:13:04Z,13.0,6.0,793.0,0.0,0.0,0.0,1.0,1.93,30.4,1.216,3.0,4.8,167.3,2.0,-1
BUS-019,ROUTE-NORTH,2026-08-28T23:56:48Z,17.0,4.0,1076.0,0.0,1.0,1.0,0.0,2.63,13.0,0.52,1.0,7.0,338.4,1.0,10
BUS-018,ROUTE-NORTH,2026-08-26T16:38:57Z,10.0,2.0,638.0,1.0,0.0,1.0,0.0,1.07,17.2,0.688,9.0,2.3,156.5,1.0,6
BUS-013,CAMPUS-EXPRESS,2026-08-27T23:29:58Z,17.0,3.0,1049.0,0.0,1.0,1.0,0.0,0.66,13.0,0.52,3.0,2.5,9.7,5.0,6
BUS-003,ROUTE-1,2026-08-05T21:55:29Z,15.0,2.0,955.0,0.0,0.0,0.0,0.0,0.9,25.4,1.016,7.0,2.0,117.5,1.0,4
BUS-013,ROUTE-3,2026-08-25T12:53:26Z,6.0,1.0,413.0,0.0,0.0,0.0,0.0,1.21,25.8,1.032,5.0,2.3,7.0,3.0,2
BUS-008,ROUTE-3,2026-08-25T12:41:02Z,6.0,1.0,401.0,0.0,0.0,0.0,0.0,3.42,25.0,1.0,2.0,10.4,71.6,3.0,-3
BUS-008,ROUTE-2,2026-08-16T21:42:07Z,15.0,6.0,942.0,0.0,0.0,0.0,1.0,2.58,26.0,1.04,3.0,6.1,251.1,2.0,1
BUS-004,ROUTE-SOUTH,2026-08-31T21:19:06Z,15.0,0.0,919.0,0.0,0.0,0.0,0.0,2.65,19.5,0.78,3.0,8.4,206.7,2.0,0
BUS-013,ROUTE-NORTH,2026-08-03T22:37:44Z,16.0,0.0,997.0,0.0,0.0,0.0,0.0,3.75,29.8,1.192,4.0,9.1,250.3,1.0,0
BUS-020,CAMPUS-EXPRESS,2026-08-26T21:36:50Z,15.0,2.0,936.0,0.0,0.0,0.0,0.0,0.28,18.8,0.752,2.0,2.0,237.5,5.0,0
BUS-011,CAMPUS-EXPRESS,2026-08-28T16:26:52Z,10.0,4.0,626.0,1.0,0.0,1.0,0.0,2.26,8.4,0.336,1.0,6.0,130.0,5.0,15
BUS-014,ROUTE-2,2026-08-25T01:33:41Z,19.0,1.0,1173.0,0.0,1.0,1.0,0.0,1.29,15.5,0.62,3.0,4.6,193.2,2.0,5
BUS-019,CAMPUS-EXPRESS,2026-08-11T21:54:15Z,15.0,1.0,954.0,0.0,0.0,0.0,0.0,3.76,24.1,0.964,5.0,8.7,316.5,5.0,4
BUS-019,ROUTE-NORTH,2026-08-22T20:24:21Z,14.0,5.0,864.0,0.0,0.0,0.0,1.0,0.23,25.0,1.0,10.0,2.1,65.3,1.0,3
BUS-009,ROUTE-3,2026-08-23T22:56:17Z,16.0,6.0,1016.0,0.0,0.0,0.0,1.0,2.55,26.6,1.064,10.0,6.9,68.6,3.0,2
BUS-008,ROUTE-SOUTH,2026-08-22T00:45:31Z,18.0,5.0,1125.0,0.0,1.0,1.0,1.0,2.07,31.4,1.256,8.0,4.2,105.6,2.0,2
BUS-019,CAMPUS-EXPRESS,2026-08-17T01:35:33Z,19.0,0.0,1175.0,0.0,1.0,1.0,0.0,1.61,8.6,0.344,6.0,6.0,197.6,5.0,9
BUS-009,ROUTE-3,2026-08-04T23:46:12Z,17.0,1.0,1066.0,0.0,1.0,1.0,0.0,1.49,8.3,0.332,4.0,5.0,341.4,3.0,11
BUS-016,CAMPUS-EXPRESS,2026-08-24T20:37:48Z,14.0,0.0,877.0,0.0,0.0,0.0,0.0,2.41,25.0,1.0,5.0,5.9,36.1,5.0,2
BUS-012,ROUTE-2,2026-08-10T20:00:45Z,14.0,0.0,840.0,0.0,0.0,0.0,0.0,2.45,25.4,1.016,3.0,5.9,349.8,2.0,0
BUS-005,CAMPUS-EXPRESS,2026-08-05T03:55:00Z,21.0,2.0,1315.0,0.0,0.0,0.0,0.0,2.63,24.3,0.972,8.0,7.0,158.1,5.0,0
BUS-009,ROUTE-1,2026-08-04T23:52:04Z,17.0,1.0,1072.0,0.0,1.0,1.0,0.0,1.86,15.5,0.62,8.0,3.9,226.0,1.0,9
BUS-010,ROUTE-SOUTH,2026-08-08T21:07:35Z,15.0,5.0,907.0,0.0,0.0,0.0,1.0,3.46,25.1,1.004,2.0,9.5,283.9,2.0,-3
BUS-015,ROUTE-NORTH,2026-08-28T22:37:27Z,16.0,4.0,997.0,0.0,0.0,0.0,0.0,1.44,25.8,1.032,5.0,4.5,218.9,1.0,2
BUS-007,ROUTE-2,2026-08-22T23:05:10Z,17.0,5.0,1025.0,0.0,1.0,1.0,1.0,1.16,34.6,1.384,5.0,3.6,56.2,2.0,5
BUS-010,ROUTE-NORTH,2026-08-08T22:18:45Z,16.0,5.0,978.0,0.0,0.0,0.0,1.0,1.34,38.7,1.548,1.0,4.9,25.6,1.0,-2
BUS-019,CAMPUS-EXPRESS,2026-08-14T22:07:34Z,16.0,4.0,967.0,0.0,0.0,0.0,0.0,1.09,22.1,0.884,4.0,2.2,95.4,5.0,3
BUS-006,ROUTE-1,2026-08-20T16:47:52Z,10.0,3.0,647.0,1.0,0.0,1.0,0.0,2.6,12.7,0.508,5.0,6.4,44.6,1.0,12
BUS-017,ROUTE-3,2026-08-16T13:28:05Z,7.0,6.0,448.0,1.0,0.0,1.0,1.0,2.73,43.6,1.744,9.0,8.5,263.7,3.0,-5
BUS-019,ROUTE-2,2026-08-31T15:01:48Z,9.0,0.0,541.0,1.0,0.0,1.0,0.0,3.06,10.3,0.412,10.0,7.5,14.4,2.0,19
BUS-015,CAMPUS-EXPRESS,2026-08-06T13:37:27Z,7.0,3.0,457.0,1.0,0.0,1.0,0.0,2.89,10.1,0.404,5.0,7.7,32.8,5.0,16
BUS-004,CAMPUS-EXPRESS,2026-08-11T14:26:44Z,8.0,1.0,506.0,1.0,0.0,1.0,0.0,2.28,18.2,0.728,3.0,6.7,143.8,5.0,7
BUS-011,ROUTE-1,2026-08-11T14:07:49Z,8.0,1.0,487.0,1.0,0.0,1.0,0.0,1.88,9.1,0.364,5.0,5.2,354.7,1.0,14
BUS-002,ROUTE-NORTH,2026-08-17T13:23:39Z,7.0,0.0,443.0,1.0,0.0,1.0,0.0,3.43,21.6,0.864,4.0,9.5,272.8,1.0,7
BUS-015,ROUTE-3,2026-08-04T21:01:40Z,15.0,1.0,901.0,0.0,0.0,0.0,0.0,2.78,11.8,0.472,8.0,6.7,56.9,3.0,11
BUS-014,ROUTE-SOUTH,2026-08-08T22:53:58Z,16.0,5.0,1013.0,0.0,0.0,0.0,1.0,0.6,29.8,1.192,2.0,3.3,232.5,2.0,-4
BUS-017,ROUTE-3,2026-08-14T13:53:30Z,7.0,4.0,473.0,1.0,0.0,1.0,0.0,4.41,14.0,0.56,5.0,10.8,197.9,3.0,16
BUS-005,ROUTE-SOUTH,2026-08-09T17:49:50Z,11.0,6.0,709.0,0.0,0.0,0.0,1.0,3.86,30.3,1.212,2.0,9.7,282.8,2.0,-3
BUS-010,CAMPUS-EXPRESS,2026-08-19T15:42:31Z,9.0,2.0,582.0,1.0,0.0,1.0,0.0,3.91,19.1,0.764,10.0,10.1,173.9,5.0,11
BUS-015,ROUTE-NORTH,2026-08-28T21:12:44Z,15.0,4.0,912.0,0.0,0.0,0.0,0.0,1.15,26.3,1.052,6.0,3.0,307.3,1.0,4
BUS-016,ROUTE-3,2026-08-13T20:42:50Z,14.0,3.0,882.0,0.0,0.0,0.0,0.0,3.71,14.9,0.596,7.0,11.2,177.8,3.0,5
BUS-019,ROUTE-SOUTH,2026-08-28T16:06:55Z,10.0,4.0,606.0,1.0,0.0,1.0,0.0,3.82,11.1,0.444,6.0,8.8,326.8,2.0,18
BUS-005,CAMPUS-EXPRESS,2026-08-16T13:50:16Z,7.0,6.0,470.0,1.0,0.0,1.0,1.0,1.59,15.8,0.632,2.0,5.1,233.3,5.0,1
BUS-013,ROUTE-SOUTH,2026-08-21T14:45:56Z,8.0,4.0,525.0,1.0,0.0,1.0,0.0,3.44,4.0,0.16,6.0,10.2,12.9,2.0,45
BUS-008,ROUTE-3,2026-08-14T20:06:48Z,14.0,4.0,846.0,0.0,0.0,0.0,0.0,2.89,21.4,0.856,2.0,8.8,159.3,3.0,0
BUS-002,ROUTE-1,2026-08-26T16:03:18Z,10.0,2.0,603.0,1.0,0.0,1.0,0.0,1.68,12.2,0.488,6.0,4.5,87.7,1.0,13
BUS-006,ROUTE-2,2026-08-03T23:39:55Z,17.0,0.0,1059.0,0.0,1.0,1.0,0.0,1.78,8.1,0.324,3.0,5.5,178.7,2.0,13
BUS-009,CAMPUS-EXPRESS,2026-08-09T13:42:00Z,7.0,6.0,462.0,1.0,0.0,1.0,1.0,4.06,31.0,1.24,8.0,10.5,103.3,5.0,-1
BUS-019,ROUTE-3,2026-08-21T20:27:44Z,14.0,4.0,867.0,0.0,0.0,0.0,0.0,1.2,24.7,0.988,5.0,4.5,71.5,3.0,1
BUS-004,ROUTE-NORTH,2026-08-13T16:36:22Z,10.0,3.0,636.0,1.0,0.0,1.0,0.0,2.63,9.5,0.38,4.0,8.6,106.0,1.0,18
BUS-001,ROUTE-3,2026-08-28T19:43:49Z,13.0,4.0,823.0,0.0,0.0,0.0,0.0,3.38,23.1,0.924,10.0,7.6,217.7,3.0,6
BUS-008,ROUTE-3,2026-08-27T01:22:14Z,19.0,3.0,1162.0,0.0,1.0,1.0,0.0,2.9,10.1,0.404,10.0,8.1,243.3,3.0,19
BUS-004,ROUTE-2,2026-08-10T15:50:28Z,9.0,0.0,590.0,1.0,0.0,1.0,0.0,0.25,9.6,0.384,1.0,2.0,47.2,2.0,7
BUS-006,ROUTE-NORTH,2026-08-05T14:50:34Z,8.0,2.0,530.0,1.0,0.0,1.0,0.0,3.96,15.8,0.632,4.0,10.0,180.1,1.0,11
BUS-010,ROUTE-NORTH,2026-08-26T23:07:29Z,17.0,2.0,1027.0,0.0,1.0,1.0,0.0,4.34,15.3,0.612,6.0,10.3,347.0,1.0,16
BUS-018,ROUTE-NORTH,2026-08-03T15:50:25Z,9.0,0.0,590.0,1.0,0.0,1.0,0.0,0.16,14.2,0.568,6.0,2.0,163.3,1.0,5
BUS-013,ROUTE-SOUTH,2026-08-04T22:43:14Z,16.0,1.0,1003.0,0.0,0.0,0.0,0.0,2.17,23.9,0.956,6.0,6.3,338.6,2.0,1
BUS-008,ROUTE-SOUTH,2026-08-21T16:52:29Z,10.0,4.0,652.0,1.0,0.0,1.0,0.0,4.1,9.3,0.372,2.0,10.2,146.6,2.0,21
BUS-016,ROUTE-3,2026-08-05T00:15:56Z,18.0,2.0,1095.0,0.0,1.0,1.0,0.0,2.47,11.1,0.444,2.0,6.3,133.2,3.0,15
BUS-014,ROUTE-SOUTH,2026-08-24T22:46:09Z,16.0,0.0,1006.0,0.0,0.0,0.0,0.0,4.0,21.6,0.864,10.0,11.0,299.3,2.0,5
BUS-002,ROUTE-3,2026-08-07T23:28:28Z,17.0,4.0,1048.0,0.0,1.0,1.0,0.0,4.28,17.2,0.688,6.0,12.3,35.7,3.0,10
BUS-012,CAMPUS-EXPRESS,2026-08-13T15:17:12Z,9.0,3.0,557.0,1.0,0.0,1.0,0.0,4.36,11.0,0.44,1.0,12.7,295.9,5.0,15
BUS-020,CAMPUS-EXPRESS,2026-08-02T12:50:21Z,6.0,6.0,410.0,0.0,0.0,0.0,1.0,1.17,33.6,1.344,1.0,2.3,202.7,5.0,-1
BUS-019,ROUTE-2,2026-08-28T00:55:14Z,18.0,4.0,1135.0,0.0,1.0,1.0,0.0,1.55,19.6,0.784,4.0,3.3,323.3,2.0,7
BUS-005,ROUTE-2,2026-08-09T18:51:11Z,12.0,6.0,771.0,0.0,0.0,0.0,1.0,0.58,27.0,1.08,9.0,3.0,47.3,2.0,1
BUS-011,ROUTE-SOUTH,2026-08-06T21:16:03Z,15.0,3.0,916.0,0.0,0.0,0.0,0.0,0.66,28.6,1.144,1.0,2.0,40.8,2.0,0
BUS-012,ROUTE-NORTH,2026-08-19T22:06:28Z,16.0,2.0,966.0,0.0,0.0,0.0,0.0,2.32,23.9,0.956,9.0,7.6,15.6,1.0,2
BUS-017,CAMPUS-EXPRESS,2026-08-15T13:41:01Z,7.0,5.0,461.0,1.0,0.0,1.0,1.0,0.37,21.5,0.86,5.0,2.0,144.2,5.0,3
BUS-003,ROUTE-NORTH,2026-08-11T23:38:09Z,17.0,1.0,1058.0,0.0,1.0,1.0,0.0,0.39,8.7,0.348,2.0,2.0,227.3,1.0,5
BUS-017,ROUTE-SOUTH,2026-08-15T14:32:38Z,8.0,5.0,512.0,1.0,0.0,1.0,1.0,1.99,35.1,1.404,5.0,6.4,41.1,2.0,1
BUS-007,ROUTE-SOUTH,2026-08-15T13:56:14Z,7.0,5.0,476.0,1.0,0.0,1.0,1.0,1.92,33.2,1.328,7.0,6.3,143.1,2.0,-1
BUS-009,ROUTE-3,2026-08-31T13:09:43Z,7.0,0.0,429.0,1.0,0.0,1.0,0.0,4.16,14.2,0.568,6.0,9.6,298.6,3.0,13
BUS-012,CAMPUS-EXPRESS,2026-08-18T13:03:37Z,7.0,1.0,423.0,1.0,0.0,1.0,0.0,4.31,6.2,0.248,3.0,11.5,240.5,5.0,34
BUS-002,ROUTE-NORTH,2026-08-20T22:19:22Z,16.0,3.0,979.0,0.0,0.0,0.0,0.0,0.56,20.0,0.8,5.0,2.0,55.5,1.0,3
BUS-012,ROUTE-1,2026-08-12T13:07:48Z,7.0,2.0,427.0,1.0,0.0,1.0,0.0,1.33,13.2,0.528,9.0,3.0,154.1,1.0,14
BUS-020,ROUTE-SOUTH,2026-08-01T17:38:59Z,11.0,5.0,698.0,0.0,0.0,0.0,1.0,2.99,30.5,1.22,9.0,8.6,10.4,2.0,1
BUS-012,ROUTE-3,2026-08-06T18:55:09Z,12.0,3.0,775.0,0.0,0.0,0.0,0.0,2.59,25.9,1.036,1.0,6.7,50.9,3.0,-1
BUS-003,ROUTE-1,2026-08-07T22:24:26Z,16.0,4.0,984.0,0.0,0.0,0.0,0.0,2.1,27.0,1.08,9.0,4.7,111.9,1.0,3
BUS-020,ROUTE-SOUTH,2026-08-29T16:03:09Z,10.0,5.0,603.0,1.0,0.0,1.0,1.0,0.79,35.5,1.42,2.0,2.8,242.0,2.0,-2
BUS-020,ROUTE-NORTH,2026-08-14T14:17:13Z,8.0,4.0,497.0,1.0,0.0,1.0,0.0,3.42,12.3,0.492,8.0,7.9,154.3,1.0,17
BUS-017,ROUTE-NORTH,2026-08-03T03:14:25Z,21.0,0.0,1274.0,0.0,0.0,0.0,0.0,4.43,24.6,0.984,5.0,10.2,73.4,1.0,3
BUS-009,ROUTE-2,2026-08-12T01:07:00Z,19.0,2.0,1147.0,0.0,1.0,1.0,0.0,2.29,21.1,0.844,5.0,6.0,46.4,2.0,7
BUS-012,ROUTE-SOUTH,2026-08-13T21:55:47Z,15.0,3.0,955.0,0.0,0.0,0.0,0.0,0.29,36.9,1.476,2.0,2.0,330.7,2.0,-1
BUS-014,ROUTE-SOUTH,2026-08-13T20:45:40Z,14.0,3.0,885.0,0.0,0.0,0.0,0.0,1.94,23.3,0.932,10.0,4.2,7.5,2.0,5
BUS-015,ROUTE-SOUTH,2026-08-03T21:27:54Z,15.0,0.0,927.0,0.0,0.0,0.0,0.0,0.57,19.0,0.76,6.0,2.0,143.8,2.0,0
BUS-011,ROUTE-3,2026-08-11T18:49:10Z,12.0,1.0,769.0,0.0,0.0,0.0,0.0,0.44,30.2,1.208,4.0,2.0,190.5,3.0,-2
BUS-012,ROUTE-3,2026-08-08T13:06:09Z,7.0,5.0,426.0,1.0,0.0,1.0,1.0,1.23,33.7,1.348,3.0,2.6,54.9,3.0,3
BUS-016,CAMPUS-EXPRESS,2026-08-25T15:36:48Z,9.0,1.0,576.0,1.0,0.0,1.0,0.0,2.65,14.3,0.572,8.0,7.7,316.7,5.0,14
BUS-011,ROUTE-3,2026-08-15T14:04:30Z,8.0,5.0,484.0,1.0,0.0,1.0,1.0,2.05,25.4,1.016,3.0,5.0,98.6,3.0,2
BUS-015,ROUTE-3,2026-08-03T00:03:23Z,18.0,0.0,1083.0,0.0,1.0,1.0,0.0,3.76,11.7,0.468,8.0,8.6,310.3,3.0,19
BUS-013,ROUTE-SOUTH,2026-08-19T22:35:50Z,16.0,2.0,995.0,0.0,0.0,0.0,0.0,3.35,13.7,0.548,8.0,7.5,326.3,2.0,12
BUS-011,ROUTE-2,2026-08-17T01:32:09Z,19.0,0.0,1172.0,0.0,1.0,1.0,0.0,4.31,13.1,0.524,10.0,11.1,291.1,2.0,20
BUS-017,ROUTE-1,2026-08-02T18:15:45Z,12.0,6.0,735.0,0.0,0.0,0.0,1.0,2.03,24.0,0.96,3.0,5.4,187.7,1.0,-1
BUS-013,ROUTE-3,2026-08-25T13:21:43Z,7.0,1.0,441.0,1.0,0.0,1.0,0.0,2.73,13.0,0.52,7.0,8.2,232.4,3.0,9
BUS-013,CAMPUS-EXPRESS,2026-08-10T04:46:54Z,22.0,0.0,1366.0,0.0,0.0,0.0,0.0,2.99,24.0,0.96,5.0,9.2,313.5,5.0,0
BUS-005,ROUTE-SOUTH,2026-08-10T22:41:44Z,16.0,0.0,1001.0,0.0,0.0,0.0,0.0,3.01,22.1,0.884,6.0,6.9,254.5,2.0,1
BUS-013,ROUTE-SOUTH,2026-08-27T14:08:42Z,8.0,3.0,488.0,1.0,0.0,1.0,0.0,3.19,12.5,0.5,6.0,9.8,358.0,2.0,13
